image	tex	section	label	caption
Figures/chi2_particleID_profiles.pdf	Sections/Event Selection.tex	$\chi^2$ Calorimetric Particle ID	fig:chi2pid_profiles	Energy loss profiles for particle types leveraged by the $\chi^2$ particle identification algorithm.
Figures/cut_stuff/1D_scan.png	Sections/Event Selection.tex	Cuts	fig:1Dscan	1D scans varying one cut variable at a time around the chosen selection values, and evaluating for the average uncertainty on the ratio. The scans shown above demonstrate that each of the cut values fall in fairly stable regions. The cut values do not always fall in the minimum of the 1D scans due to the nature of the 9D optimization meaning that changing the value of one cut would change the shape of the 1D scans of the rest, and potentially destablize the selection in those phase spaces.
Figures/cut_stuff/cosmic_cut.png	Sections/Event Selection.tex	Cuts	fig:cosmic_cuts	Nuetrino score and opening angle cuts, primarily to remove remaining cosmic (blue) populations after preselection.
Figures/cut_stuff/track_score.png	Sections/Event Selection.tex	Cuts	fig:track_score	Muon track score cut after cosmic cut has been applied, primarily to remove remaining cosmic (blue) populations and NCs.
Figures/cut_stuff/mu_len.png	Sections/Event Selection.tex	Cuts	fig:track_score	Muon length cut after cosmic and track score cuts have been applied, the lower bound primarily to remove remaining cosmic (blue) populations and NCs, the upper bound to constrain upper energy of candidates for cross section cancellation.
Figures/cut_stuff/mu_cand.png	Sections/Event Selection.tex	Cuts	fig:mu_cand	Muon candidate PID cuts after cosmic, two-prong, and muon topology cuts have been applied. The upper bound of $\chi^2_u$ varies between detectors, where it's fairly strict for SBND but isn't being cut on for ICARUS. The lower bound of $\chi^2_u$ remains roughly the same between the two detectors, largely removing NC's.
Figures/cut_stuff/p_cand.png	Sections/Event Selection.tex	Cuts	fig:p_cand	Proton candidate PID cuts after all other cuts have been applied. $\chi^2_u$ upper bound is stricter for ICARUS than SBND due to the different locations of the remaining cosmic (blue) contaminants along the axis.
Figures/cut_stuff/eff.png	Sections/Event Selection.tex	Cuts	fig:efficnecy	Selection efficiencies of post selection for muons, protons, charged and neutral pions. Overall shape is roughly the same between detectors. The largest difference is in the muon momentum acceptance, and is largely driven by the difference in geometric shape between the two detectors.
Figures/cut_stuff/e_reco_ratio.png	Sections/SignalBoxDistributions.tex		fig:signalbox-dist-\var	Distribution in GUMP signal box in SBND, ICARUS, and the near-far ratio.
Figures/cut_stuff/del_p_ratio.png	Sections/SignalBoxDistributions.tex		fig:signalbox-dist-\var	Distribution in GUMP signal box in SBND, ICARUS, and the near-far ratio.
